Compliance Status,Building ID,Building Name,Site Address,Site Zip,Year Built,"Floor Area 
(sf)",Primary Property Type ,ENERGY STAR Score,Certified or Verified?,"Site EUI 
(kBtu/sf)","Weather Normalized  Site EUI 
(kBtu/sf)",Source EUI (kBtu/sf),Weather Normalized Source EUI (kBtu/sf),"Electricity Generated from Onsite Renewable Systems 
(kWh)","Total GHG Emissions 
(Metric Tons CO2e)"
Compliant,1S1E03BB-1000-B1,Power + Light Building,920 SW 6TH AVE,97204,1927,"329,816",Office,84,Certified,60.3,61.3,128.2,129.3,,1472.4
Compliant,1N1E33AD-2300-B1,Pearl West Office Building,1455 NW IRVING ST,97209,2014,"155,465",Office,80,Certified,47.2,47.2,131.3,131.3,,636.6
Compliant,1N3E19C-311-B1,McKinstry PDX - 16790 NE Mason Office,16790 NE MASON ST,97230,2009,"51,874",Office,78,Certified,33.3,33.6,88.5,88.8,,145.7
Compliant,1N1E35BD-400-B1,1201 Lloyd,1201 NE LLOYD BLVD,97232,2001,"233,470",Office,75,Certified,50.6,50.9,138.5,138.9,,1015
Compliant,1S1E03BA-5000-B1,Moda Tower,601 SW 2ND AVE,97204,1998,"447,548",Office,74,Certified,57.7,57.7,161.6,161.6,,2249.8
Compliant,Campus-26,River Forum,4380 SW MACADAM AVE,97239,1985,"196,224",Office,68,Certified,63.9,63.9,178.9,178.9,,1092.6
Compliant,1S1E03BB-90000-B3,Pioneer Tower,700 SW 5TH AVE,97204,N/A,"296,329",Office,65,Certified,57.6,57.3,161.3,160.5,,1487.4
Compliant,1N1E34CA-4500-B1,One Pacific Square,220 NW 2ND AVE,97209,1984,"277,561",Office,63,Certified,66,67.5,151.9,152.8,,1418.6
Compliant,1N1E03CB-600-B1,Fisherman's Marine and Outdoor,1120 N HAYDEN MEADOWS DR,97217,1984,"40,000",Retail Store,100,,17.7,19.2,34.1,35.6,,49.6
Compliant,1N1E33AA-1700-B1,12th & Northrup,1233 NW 12TH AVE,97209,1939,"76,619",Office,100,,17.9,Not Available,49,Not Available,,117.9
Compliant,1N1E33AD-100-B1,Rivertec,905 NW 12TH AVE,97209,1949,"76,589",Mixed Use Property,100,,27.6,28.2,65.8,66.5,,167
Compliant,1N1E34CC-9700-B2,Park Avenue West,728 SW 9TH AVE,97205,2008,"479,736",Mixed Use Property,100,,16.1,17,18.1,19.1,,422.4
Compliant,1N1E35BB-2100-B1,Quality Inn Downtown Convention Center,431 NE MULTNOMAH ST,97232,1967,"38,693",Hotel,100,,54.3,55,114.9,116.1,,155.1
Compliant,1N1E35CA-6000-B1,EASTSIDE LODGE,949 E BURNSIDE ST,97214,1960,"28,000",Hotel,100,,60,60,112.3,112.3,,116.1
Compliant,1N2E26CC-4600-B1,1pda5493,12321 NE HALSEY ST,97230,1967,"34,472",Wholesale Club/Supercenter,100,,13.7,15.4,27.2,29,,33.7
Compliant,1S1E11BB-3801-B1,Dairy Building,2715 SE 8TH AVE,97202,1937,"45,118",Office,100,,17.8,19.1,27.1,28.5,,50
Compliant,1S1E14AB-400-B2,Iron Fireman Property,4784 SE 17TH AVE,97202,1925,"134,000",Office,100,,12.4,12.8,24.3,24.7,,117.3
Compliant,1S1E29CB-3800-B1,HOSPITALITY INN,10155 SW CAPITOL HWY,97219,1996,"30,828",Hotel,100,,44.8,44.9,81.4,81.9,,93.9
Compliant,1S2E12BB-2200-B1,Division Square,14404 SE DIVISION ST,97236,1962,"20,400",Retail Store,100,,11.3,12.6,17.6,19,,14.5
Compliant,1N1E22DC-14200-B1,Karuna West,3514 N VANCOUVER AVE,97227 ,2015,"35,671",Office,99,,18.6,18.6,48.2,48.2,,55.1
Compliant,1N1E34DD-700-B1,Templeton,230 E BURNSIDE ST,97214 ,1930,"24,600",Office,99,,16.2,16.9,33.5,34.2,,29.1
Compliant,1S1E03BC-3500-B1,1515 Market Square,1515 SW 5TH AVE,97201,1981,"220,991",Office,99,,114.9,116.8,289.7,291.7,,2074.4
Compliant,1N1E19DB-900-B1,MIG PDX NW INC,4319 NW YEON AVE,97210,1992,"37,619",Hotel,98,,62.7,62.7,124.2,124.2,,168
Compliant,1N1E34CC-80000-B1,Broadway Commons,225 SW BROADWAY,97205,1909,"31,546",Office,98,,31.4,31.4,88,88,,86.4
Compliant,1N1E35BB-1100-B1,Courtyard Porltand Downtown Convention Center,435 NE WASCO ST,97232,2000,"147,250",Hotel,98,,34.8,34.8,96.7,96.7,,444.2
Compliant,1N2E33AA-300-B1,11134-Portland Gateway,10110 NE HALSEY ST,97220,1992,"75,079",Retail Store,98,,25,25.3,64.6,64.9,,155.7
Compliant,Campus-55,Powell Villa,3510-3544 SE 122ND AVE,97236,1975,"60,708",Retail Store,98,,35.6,36.9,75.5,76.9,,159.7
Compliant,1N1E03CC-800-B1,Trimark University Housing VI LLC,1215 N HAYDEN MEADOWS DR,97217,1990,"42,000",Hotel,97,,77.8,Not Available,133.8,Not Available,,216.1
Compliant,1N1E22DC-14100-B1,Karuna East,25 N FREMONT ST,97227,2015,"35,620",Office,97,,25.3,25.3,55.4,55.4,,67.8
Compliant,1N1E28CC-400-B1,Holiday Inn Express NW Portland,2333 NW VAUGHN ST,97210,2001,"44,742",Hotel,97,,70.2,70.7,131.1,131.6,,216.8
Compliant,Campus-48,MLK/Wygant Building,4829 NE M L KING BLVD,97211,1928,"22,500",Office,97,,17.1,18,37.2,38.5,,28.8
Compliant,1N1E34CA-8900-B1,Oregon Leather Co.,110 NW 2ND AVE,97209,1900,"27,000",Retail Store,96,,15.4,16.6,25.7,26.9,,27.1
Compliant,1N1E35BA-300-B1,DoubleTree Lloyd Center,1000 WI/ NE MULTNOMAH ST,97232,N/A,"647,230",Hotel,96,,56.1,56.8,100.9,101.3,,2456.4
Compliant,1N1E35CD-8400-B4,Troy Laundry Building,1025 SE PINE ST,97214 ,1914,"42,868",Office,96,,22.3,24,32.8,34.5,,58.5
Compliant,1N2E15DB-300-B1,PDX Airport La Quinta,11207 W/ NE HOLMAN ST,97220,N/A,"49,860",Hotel,96,,70.7,70.6,121.2,121,,232.7
Compliant,1N2E34DA-107-B1,Glisan Station,11826 NE GLISAN ST,97220,1995,"116,222",Office,96,,24,24,67.3,67.2,,243.3
Compliant,1N1E20-109-B10,Daimler Trucks North America Corp HQ,4435-4747 N CHANNEL AVE,97217,2016,"268,904",Office,95,,49.9,50.6,110.9,111.5,"225,355",978.5
Compliant,1N1E28CD-2800-B1,"Slabtown JV, LLC",2151 NW SAVIER ST,97209,1988,"150,949",Office,94,,19.5,19.5,54.1,54.1,,254.9
Compliant,1N1E34CC-6500-B1,PWASP,519 SW PARK AVE,97205,1914,"30,000",Office,94,,26.9,27.7,75.2,77.5,,70.2
Compliant,1S1E03BB-70000-B1,Meier & Frank,621 SW 5TH AVE,97204,N/A,"214,200",Office,93,,21.9,22.7,61.2,63.6,,407.9
Compliant,1N1E33AC-2300-B1,The Glisan Center,535 NW 16TH AVE,97209,1958,"35,000",Office,93,,20.1,20.1,56.4,56.4,,61.4
Compliant,1N1E34AA-300-B1,Crowne Plaza Downtown Convention Center,1441 NE 2ND AVE,97232,1970,"166,133",Hotel,93,,42.3,42,116.8,116,,606.8
Compliant,1N1E34CC-4000-B1,Aspect on Sixth,400 SW 6TH AVE,97204,1961,"210,609",Office,93,,47,48.6,102.1,103.7,,741.8
Compliant,1N2E15DA-800-B2,Shilo Inn,11707 NE AIRPORT WAY,97220,1990,"165,100",Hotel,93,,45.4,45.9,86,86.6,,521.1
Compliant,1S1E31BD-2700-B1,Comfort Suites Southwest,11394 SW BARBUR BLVD,97219,2000,"31,882",Hotel,93,,66.8,66.8,124.8,124.8,,146.9
Compliant,1N1E03BB-1801-B2,Residence Inn Portland North Harbour,1250 N ANCHOR WAY,97217,2006,"80,000",Hotel,92,,53.9,53.9,106.3,106.3,,306.3
Compliant,1N1E03BB-600-B1,Fairfield Inn & Suites Portland North Harbour,1200 N ANCHOR WAY,97217 ,2008 ,"47,070",Hotel,92,,70,70.4,127.9,128.4,,224.7
Compliant,1N1E27CA-6800-B3,Gotham Building,2240 N INTERSTATE AVE,97227,1915,"31,000",Office,92,,25,25,70,70,,67.5
Compliant,1N1E33DD-7400-B1,Tiffany Center,1410 SW MORRISON ST,97205,1930,"113,839",Office,92,,43.2,45.1,82.8,84.7,,343.9
Compliant,1N1E34CA-4400-B1,121 NW Everett,121 NW EVERETT ST,97209,2000,"117,873",Office,92,,46.3,46.8,122.7,123.2,,459.5
Compliant,1N1E35CC-5800-B1,Pine Street Studios,215 SE 9TH AVE,97214,1928,"21,829",Office,92,,68.9,71.2,78.5,80.9,,82.5
Compliant,1N2E15D-801-B3,"Staybridge Suites - Portland, OR",11936 NE GLENN WIDING DR,97220,2000,"67,242",Hotel,92,,57.2,57.7,112.7,113.3,,273.1
Compliant,1N1E34CA-2100-B1,GLIS,618 NW GLISAN ST,97209,1908,"39,529",Office,91,,21.6,22.3,60.5,62.4,,74.4
Compliant,1N1E34CD-8400-B1,CONC,204-214 SW STARK ST,97204,1891,"27,000",Office,91,,45.7,48.3,77.4,80.1,,81
Compliant,1S1E03CD-300-B1,2100 River Parkway,2100 SW RIVER PKWY,97201,1995,"116,584",Office,91,,67,67.7,161.7,161.5,,621.7
Compliant,1N1E28DB-2400-B1,Fitzgibbon Glass Building,1969-2001 NW 19TH AVE,97209,1929,"30,492",Office,90,,44.8,47.3,84,86.6,,94.5
Compliant,1N1E34BC-5200-B1,1039 Building - 1N1E34BC-5200-B1,1033-1039 NW GLISAN ST,97209,1928,"20,000",Office,90,,38.2,39.6,83.3,84.9,,57.4
Compliant,1N1E34CA-100-B1,"Region 1 Headquarters, Flanders",123 NW FLANDERS ST,97209,1961,"94,063",Office,90,,34.3,34.5,90.4,90.5,,270.6
Compliant,1N1E34CC-7600-B1,Wilcox Building,506 SW 6TH AVE,97204,1913,"54,880",Office,90,,34,35.2,77.1,78.5,,143.3
Compliant,1S1E03AA-900-B1,Olympic Mills Commerce Center,107 SE WASHINGTON ST,97214,1920,"133,804",Office,90,,47,48.3,104.4,105.8,,477.2
Compliant,1S1E03BB-800-B1,Sixth + Main,1001 SW 5TH AVE,97204,1982,"424,213",Office,90,,35.7,35.3,99.9,98.9,,1319.1
Compliant,1S1E03CB-1800-B1,Richard and Maurine Neuberger Center,1600 SW 4TH AVE,97201,1968,"152,785",Office,90,,52.5,54.6,109.1,111.3,,586.6
Compliant,2N1E34C-1300-B1,Safeway 1223 - N Jantzen,11901-11919 N JANTZEN DR,97217,1990,"54,975",Supermarket/Grocery Store,90,,165,169.8,296,301,,612.9
Compliant,Campus-25,The Rebuilding Center,3625 WI/ N MISSISSIPPI AVE,97227,1960,"60,550",Retail Store,90,,10.2,10.8,19.2,19.8,,42.8
Compliant,1N1E33DB-3700-B1,Chown Hardware,333 W/ NW 16TH AVE,97209,1981,"35,000",Retail Store,89,,44.6,45.9,92.3,92.8,,113.8
Compliant,1N1E34CB-5500-B1,Portland US Custom House LLC,220 NW 8TH AVE,97209,1901,"89,862",Office,89,,67.1,69.1,134.5,134.9,,432.1
Compliant,1N1E35CA-500-B1,Northwest Fence & Wire Works,400 NE 11TH AVE,97232,1911,"20,000",Office,89,,25.7,26.1,57.3,57,,39.1
Compliant,1N2E16-121-B1,PORTLAND NE (2523),9401 NE CASCADES PKWY,97220,2013,"137,955",Retail Store,89,,50.8,51.3,132.9,133.5,,585.5
Compliant,1N2E35CB-3000-B2,Hansen Building,12240 NE GLISAN ST,97230,1956,"36,858",Office,89,,56.7,62.7,85.4,91.7,,129.6
Compliant,1S1E03BD-600-B1,First and Main,100 SW MAIN ST,97204,2010,"397,685",Office,89,,39.1,39.3,108.5,109.1,,1346.9
Compliant,Campus-32,New Market Theater,120 SW ANKENY ST,97204,1872,"110,334",Office,89,,34.1,35.4,74.8,76.1,,283.7
Compliant,1N1E25DD-90000-B1,Dania Furniture,1905 NE 41ST AVE,97212,1940,"32,777",Retail Store,88,,30.9,32.3,66.4,67.5,,75.4
Compliant,1N1E27BB-2200-B1,OR0911 - South Interstate Medical Offices,3500 WI/ N INTERSTATE AVE,97227,1998,"302,825",Medical Office,88,,50.5,50.7,101,100.3,,1094.2
Compliant,1N1E28DC-3400-B1,Upshur Building,1825 NW 19TH AVE,97209,1952,"34,850",Supermarket/Grocery Store,88,,83.9,84.7,215.2,215.3,,241.4
Compliant,1N1E33AC-200-B1,Lovejoy Building LLC,1624 NW LOVEJOY ST,97209,1910,"20,000",Office,88,,32.4,32.2,83.4,82.7,,53.6
Compliant,1N1E34CC-7000-B1,Electric Building,621 SW ALDER ST,97205,1905,"90,000",Office,88,,35.9,36.5,92.7,93,,267.9
Compliant,1N1E34CD-2200-B1,Haseltine Building,133 SW 2ND AVE,97204,1893,"48,725",Office,88,,40.4,39.9,87,85.8,,146.7
Compliant,1N1E34CD-3000-B1,Five Oak,421 SW OAK ST,97204,1895,"264,037",Office,88,,50.3,52.3,106.2,108.3,,979.1
Compliant,1N2E17AA-700-B1,"Country Inn & Suites - Portland, OR",7025 NE ALDERWOOD RD,97218,1997,"73,038",Hotel,88,,68.4,68.7,129.7,130.1,,347.6
Compliant,1S1E02BC-7200-B1,Multnomah Building,501 SE HAWTHORNE BLVD,97214,1985,"224,018",Office,88,,43.7,44.4,101.8,102.6,,763.2
Compliant,1S1E03BA-2100-B1,One World Trade Center,121-127 SW SALMON ST,97204,1975,"320,346",Office,88,,55,55.2,108.7,109.2,,1316.8
Compliant,1S1E03BB-2100-B1,Sixth At Yamhill,811-819 SW 6TH AVE,97204,1956,"133,019",Office,88,,58.5,60.4,108.4,109.3,,534.8
Compliant,1S1E03CD-1000-B1,Residence Inn RiverPlace,2115 SW RIVER PKWY,97201,2001,"220,663",Hotel,88,,59.8,60.4,126.3,126.9,,972.9
Compliant,1S1E03DA-3800-B1,OEB,1709 SE 3RD AVE,97214,1940,"46,154",Office,88,,38.5,39.7,87.9,89.2,,136.9
Compliant,2N1E33-100-B12,PORTLAND NW (2779),1555 N TOMAHAWK IS DR,97217,2013,"136,957",Retail Store,88,,46.1,46.8,117.4,118.2,,519
Compliant,1N1E34CA-4700-B1,Center for Philanthropy,221 NW 2ND AVE,97209,1985,"31,016",Office,87,,66.6,69.8,89.8,92.9,,121.7
Compliant,1N2E34DA-103-B1,Safeway 1451 - NE 122nd Ave,221 NE 122ND AVE,97230,1996,"52,568",Supermarket/Grocery Store,87,,141.9,146,346.5,350.8,,598
Compliant,1N1E33DA-1300-B1,Dale Building LLC,410-420 NW 14TH AVE,97209,1915,"20,000",Office,86,,23,24,48.3,49,,33.8
Compliant,1N1E34DA-2800-B1,Eastside Exchange,123 NE 3RD AVE,97232,1926,"80,000",Office,86,,47.1,47.1,114.8,114.8,,301.8
Compliant,1N2E23CB-9900-B1,4288,12350 WI/ NE SANDY BLVD,97230,1971,"117,255",Retail Store,86,,32.1,32.1,89.9,89.9,,328.1
Compliant,1N2E33AA-800-B1,70100128-Gateway,1111 NE 102ND AVE,97220,1987,"186,033",Retail Store,86,,90.7,92.5,207,207.8,,1300.3
Compliant,1S2E06BB-9300-B1,4531 Belmont,4531 SE BELMONT ST,97215,1976,"23,010",Office,86,,25.2,25.7,70.5,72,,50.4
Compliant,Campus-29,70100360-Stadium,100 NW 20TH AVE,97209,1968,"110,239",Supermarket/Grocery Store,86,,143,145.6,306.7,308.3,,1173
Compliant,1N1E22AA-100-B1,Walnut Park Complex,5305 NE M L KING BLVD,97211,1951,"99,398",Medical Office,85,,45.2,46.7,87.8,88.9,,316.7
Compliant,1N1E23CC-8900-B2,The Heritage Building,3934 NE M L KING BLVD,97212,1933,"29,586",Office,85,,31.3,31.3,87.7,87.7,,80.7
Compliant,1N1E33AB-7800-B1,System Administrative Office 1919,1919 NW LOVEJOY ST,97209,1916,"84,859",Office,85,,109.5,109.5,306.5,306.5,,809.3
Compliant,1N1E33DA-3200-B1,224 Building (W+K HQ),1227 NW DAVIS ST,97209,1908,"176,986",Office,85,,61.7,63,140.4,140.8,,840.4
Compliant,1N1E35BC-400-B1,Liberty Centre,650 NE HOLLADAY ST,97232,1997,"324,407",Office,85,,55.9,55.9,156.4,156.4,,1579
Compliant,1S1E03BC-1000-B1,City Hall,1220 SW 5TH AVE,97204,1893,"87,544",Office,85,,51.5,52.1,133.9,134.5,,375.4
Compliant,1S1E03CB-800-B1,200 Market Building,200 SW MARKET ST,97201,1973,"391,012",Office,85,,58.8,60.4,124.1,124.8,,1694.8
Compliant,1S2E16BC-8600-B1,Oriental Food Value,8303 SE INSLEY ST,97266,1970,"22,050",Supermarket/Grocery Store,85,,89.1,90.5,216.2,217.7,,157
Compliant,1N1E33AA-1300-B1,Meriwether Overton A,1330 NW 14TH AVE,97209,1947,"20,000",Office,84,,28.4,28.4,79.5,79.5,,49.5
Compliant,1N1E33AB-400-B1,Overton Street Properties,1250 NW 17TH AVE,97209,1960,"24,954",Office,84,,66,68.8,132.1,135,,118
Compliant,1N1E34CD-9600-B1,Yeon Building,520-530 SW 5TH AVE,97204,1911,"135,758",Office,84,,45.3,46.5,108.6,109.7,,487.9
Compliant,1N2E18AB-800-B1,WMO Main Office Building,7227 NE 55TH AVE,97218,1988,"30,000",Office,84,,40.1,39.3,112,109.8,,104.6
Compliant,1S1E03BB-1200-B1,Pacific Building,520 SW YAMHILL ST,97204,1926,"181,453",Office,84,,55.9,57.5,122.9,124,,765.3
Compliant,1S1E03BB-2400-B1,1000 Broadway Building,1000 SW BROADWAY,97205,1992,"269,665",Office,84,,50.9,51.3,142.6,143.6,,1196.8
Compliant,Campus-10,Crown Plaza,120 SW CLAY ST,97201,1973,"303,349",Office,84,,43.4,43.4,119.3,119.3,,1133.9
Compliant,1N1E20-109-B1,Daimler Trucks North America Corp 1,4435-4747 N CHANNEL AVE,97217,N/A,"210,000",Office,83,,63.3,63.4,170.8,170.8,,1131.9
Compliant,1N1E22DC-14300-B2,Radiator Building,3530 N VANCOUVER AVE,97227,2015,"37,639",Office,83,,31.4,31.4,87.9,87.9,,103
Compliant,1N1E34CB-2700-B1,Ziba 334 Building,334 NW 11TH AVE,97209,1925,"22,600",Office,83,,44.9,45.6,93.5,92.7,,74.3
Compliant,1N1E34CC-90000-B1,Portland marriott city ceneter,520 SW Broadway,97204,N/A,"157,096",Hotel,83,,73.4,74,148.8,149.5,,831.5
Compliant,1N2E09C-601-B1,Hampton Inn Portland Airport,8633 NE AIRPORT WAY,97220,1996,"66,024",Hotel,83,,66.4,66.4,131.3,131.3,,311.8
Compliant,1N2E35BB-701-B1,Halsey,12250 NE HALSEY ST,97230,2013,"25,299",Retail Store,83,,50.4,53.2,116.8,118.6,,99.1
Compliant,Campus-44,"LSC Block K & L (LA Fit, Wells, Dollar Tree)",LLOYD CENTER,97232,1959,"222,920",Mixed Use Property,83,,40.1,40.1,110.2,110.2,,769.4
Compliant,1N1E33DD-6100-B1,Mayer Building,1122-1138 SW MORRISON ST,97205,1927,"70,000",Office,82,,45.7,47,106.6,107.7,,249.6
Compliant,1N1E34BB-1304-B1,57F44-Residence Inn Dwtn Portland Pearl,1150 NW 9TH AVE,97209,2014,"172,864",Hotel,82,,62,62.2,127.4,127.7,,778.3
Compliant,1N1E34DB-400-B1,Blagen Block,30-34 NW 1ST AVE,97209,1888,"47,497",Office,82,,57.5,58.1,134.2,133.5,,213.2
Compliant,1N1E35BC-1900-B1,Portland State Office,800 NE OREGON ST,97232,1991,"252,105",Office,82,,45.2,45.7,118.4,118.9,,953
Compliant,1N2E32BC-8000-B2,70100125-Glisan,6615 NE GLISAN ST,97213,1978,"108,190",Supermarket/Grocery Store,82,,112.5,114.6,260.3,262.5,,945.4
Compliant,1S1E03CC-1000-B1,Parkside Center,2020 SW 4TH AVE,97201,1982,"238,106",Office,82,,49.4,49.5,127.9,127,,976.3
Compliant,1S1E10BB-9300-B1,Walsh Building,2905 SW 1ST AVE,97201,1999,"23,500",Office,82,,49.4,51.4,105.2,107.3,,86.1
Compliant,1S2E02BB-1100-B1,Fabric Depot,700 SE 122ND AVE,97233,1962,"75,050",Retail Store,82,,49.7,53.9,105.5,109.9,,275.8
Compliant,1S2E04A-1508-B3,PORTLAND EAST (1419),9800 SE WASHINGTON ST,97216,1971,"157,314",Retail Store,82,,68,69.9,149.2,151.2,,806
Compliant,1N1E22AB-9900-B1,Albina,30 N WEBSTER ST,97217,1970,"51,534",Office,81,,50.4,52,108.6,109.7,,193.7
Compliant,1N1E34BC-6800-B1,Ecotrust,907 NW IRVING ST,97209,1895,"70,000",Office,81,,38.5,39.1,106.7,108.4,,233.2
Compliant,1N2E33AA-1000-B6,Gateway A,9908-9924 NE HALSEY ST,97220,1992,"22,656",Retail Store,81,,43.5,44.9,95.2,95.7,,74.1
Compliant,1S1E03AA-5800-B1,81 Yamhill Investors LLC,81 SE YAMHILL ST,97214,1908,"28,903",Retail Store,81,,29.9,30.6,69.4,69.7,,67.2
Compliant,1S1E03AD-1400-B1,Eastbank Commerce Center LLC,1001 SE WATER AVE,97214,1925,"66,000",Office,81,,61.2,63.5,119.7,121.6,,285.7
Compliant,1S1E06DB-3400-B1,Sylvan Westgate,5319 SW WESTGATE DR,97221,1970,"69,407",Office,81,,53.4,55.8,104.7,106.7,,262.5
Compliant,1S1E21AC-3100-B3,70100040-Burlingame,7529-7601 SW BARBUR BLVD,97219,1962,"91,025",Supermarket/Grocery Store,81,,148.6,152.5,323.8,328,,1015.1
Compliant,1N1E15BB-10600-B1,70100150 -- Interstate,7404 N INTERSTATE AVE,97217,2004,"150,934",Retail Store,80,,88.1,88.9,228.4,229.2,,1105.2
Compliant,1N1E33CD-1000-B4,Design Center PDX,735 SW 20TH PL,97205,1924,"30,799",Office,80,,57.2,58.7,139.6,141.1,,141.2
Compliant,1N2E15AC-702-B1,International Corporate Center - 022,11719 NE GLENN WIDING DR,97220,1999,"23,843",Retail Store,80,,45.7,45.7,127.8,127.8,,94.8
Compliant,1N2E16-127-B2,Cascade Station I,9600 NE CASCADES PKWY,97220,2008,"99,159",Office,80,,51.2,51.4,140.8,141,,437.4
Compliant,1N2E21AA-1000-B1,Best  Western  Pony  Soldier  Inn,9901 NE SANDY BLVD,97220,1990,"54,410",Hotel,80,,60,60.1,100.7,100.8,,213.4
Compliant,1N2E23A-600-B2,Costco #0002 Portland,4849 NE 138TH AVE,97230,2007,"173,512",Supermarket/Grocery Store,80,,141.9,146.1,312.1,314.4,,1857.8
Compliant,1S1E03BA-2700-B1,Bank of America Financial Center,121 SW MORRISON ST,97204,1988,"374,472",Office,80,,55.4,55.5,155.1,155.3,,1807.2
Compliant,1S1E03BA-7400-B1,Loyalty Building,317 SW ALDER ST,97204,1929,"53,155",Office,80,,37.5,38,100.2,101.5,,168.8
Compliant,1N1E33AA-1200-B1,Overton - Pearl,1455 NW OVERTON ST,97209,2010,"62,053",Office,79,,38.7,39.3,103.4,105.1,,203.1
Compliant,1N1E33DA-1400-B1,Glisan Building,424 NW 14TH AVE,97209,1935,"22,432",Office,79,,50,51.1,112.2,112.4,,85.6
Compliant,1N1E34CC-4100-B1,Mead Building,421 SW 5TH AVE,97204,1912,"87,602",Office,79,,43.5,44.2,113.4,114.2,,317.6
Compliant,1N1E34CC-6600-B1,Morgan Building,720 SW WASHINGTON ST,97205,1913,"152,907",Office,79,,57.3,58.9,124.2,125.8,,168.5
Compliant,1N1E35AD-5300-B1,Hanna Andersson Building,541 NE 20TH AVE,97232,1930,"113,468",Office,79,,49.9,51.6,112.9,114.6,,434.4
Compliant,1N1E35BC-1200-B1,Forum Building,525 NE OREGON ST,97232,1919,"54,000",Office,79,,47.3,49,90.7,92.8,,178.7
Compliant,1N2E15DB-1700-B1,Courtyard Portland Airport,11550 NE AIRPORT WAY,97220,1989,"75,494",Hotel,79,,73,72.8,145.7,145.4,,393.9
Compliant,1N2E33AA-1000-B13,Gateway B,9908-9924 NE HALSEY ST,97220,1992,"24,108",Retail Store,79,,47.5,48.1,115.9,115.1,,91.8
Compliant,1S1E15BA-900-B1,PCC CORPORATE CENTER,4650 SW MACADAM AVE,97239,1996,"68,740",Office,79,,55.4,56.4,150.4,152.7,,325.5
Compliant,1N1E34CB-8800-B1,SmithCo Properties,135 NW PARK AVE,97209,1911,"25,000",Office,78,,30.3,30.3,84.9,84.9,,66
Compliant,1N2E15DA-1100-B1,COMFORT SUITES,12010 NE AIRPORT WAY,97220,1996,"47,091",Hotel,78,,62,62.2,108.9,109,,195.2
Compliant,1S1E03CB-90000-B2,1900 Building,1900 SW 4TH AVE,97201,N/A,"161,185",Office,78,,55.3,55.3,154.7,154.7,,776
Compliant,1S1E12CB-12703-B1,Catholic Charities-Clark Family Center,2740 SE POWELL BLVD,97202,2010,"60,308",Office,78,,34.5,34.5,95.6,95.6,,180.1
Compliant,1S1E18AB-9200-B1,Store #5351_5431 Sw Beaverton Hillsdale,5431 SW BEAVERTON HILLSDALE,97221 ,1997,"34,659",Retail Store,78,,43.4,43.9,117.6,118,,128.4
Compliant,1S1E22A-300-B2,Willamette Oaks Building,6720 SW MACADAM AVE,97219 ,1960,"39,459",Office,78,,56.4,57.9,130.8,132.4,,173.1
Compliant,1N1E34DD-2400-B1,000832-Portland,323 SE M L KING BLVD,97214,1990,"20,082",Retail Store,77,,45.6,46.5,105.2,104.9,,71
Compliant,1N2E31BB-2801-B1,PSA - Providence Office Park I (POP I),"4400 NE HALSEY ST, BLDG 1",97213,2000,"185,098",Office,77,,59.9,59.9,166.2,166.2,,960.3
Compliant,1N2E09C-1400-B4,Residence Inn Portland Airport at Cascade Station,9301 NE CASCADES PKWY,97220,2010,"88,081",Hotel,76,,78.9,78.7,158.7,157.6,,499
